GrantId,Title,CountReviewers
14434,Karma - GAP,2080
14510,Open Source Observer,1443
14696,Burns,1184
15956,ShapeShift,187
15961,Laika,23
15713,Clique,15
14451,Migi,13
15932,Reclaim Protocol,12
15794,Chess.fish,10
15919,Bytekode,9
15867,Ethereum Mexico 2023,8
15947,Coini Technologies,8
15800,Layer3,7
15911,Espacio Cripto,7
15857,Arbitrum Academy,6
15876,DeFi Africa - Web3 BUIDL Workshops,6
15736,Kaiju Cards,5
15764,etherSource,5
15769,Gold Inc,5
15781,Smithonia,5
15788,FPS,5
15842,MetricsDAO,5
14540,Helka Gaming,4
14775,Arbitrum votable supply tracker,4
15588,Timeswap,4
15703,Pear Protocol,4
15824,Arbitrum STIP Virtual Event Marathon,4
15893,JiffyScan,4
14680,Voting Power,3
14781,0xidm's DAO governance analysis and AIP,3
15474,Umami Finance,3
15656,Mountain Protocol,3
15689,Critonopix,3
15746,Gaming Chronicles,3
15756,Spire,3
15810,Arbitrum Arabic,3
15884,Arbitrum Python SDK,3
15940,Bonadocs,3
15457,Gamma,2
15529,Angle Protocol,2
15567,OpenOcean,2
15653,Sweep n' Flip | NFT DEX,2
15665,Build3rs Labs,2
15680,Amelia,2
15716,Gaming Startup Collective,2
15724,LLC Game,2
15837,Blockchain Innovation Hub,2
15993,Burns,2
14612,thinkDecade,1
14639,Raho,1
14756,0xngmi,1
14768,Arbitrum Cipher Sessions,1
14966,Pulsar Protocol,1
15259,PLAY2LEARN,1
15303,GMX,1
15357,Pendle,1
15411,Socket Protocol,1
15425,Silo Finance,1
15543,Galxe,1
15554,Rysk,1
15578,WINR Protocol,1
15593,Saavy,1
15601,Tally,1
15611,Good Entry,1
15615,Stella,1
15647,One Click Crypto,1
15672,Smilee LP & IG Simulator with IL Hedge,1
15816,Arbitrum Aeternum Program,1
15847,Onboarding of new developers,1
15901,DeFi Teller,1
